               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.011408,           0.0087296,           0.0022048,             0.99269,              0.9972,               0.995,             0.92035,           0.0067299,           0.0059085,          0.00026021,            0.002872,            0.002872,            0.002872
                  74,            0.011801,           0.0090576,           0.0022075,             0.99514,             0.99061,               0.995,             0.91939,           0.0067134,           0.0058092,          0.00027814,            0.002773,            0.002773,            0.002773
                  75,            0.011356,           0.0092318,           0.0025003,             0.98432,             0.99209,             0.99384,             0.92474,           0.0064765,           0.0057217,          0.00054219,            0.002674,            0.002674,            0.002674
                  76,            0.010947,           0.0089105,           0.0018626,             0.99621,             0.99021,               0.995,             0.91696,           0.0064253,           0.0058933,          0.00037679,            0.002575,            0.002575,            0.002575
                  77,            0.011162,            0.008988,           0.0021146,              0.9801,             0.99597,             0.99433,             0.91603,           0.0066629,           0.0058191,           0.0003471,            0.002476,            0.002476,            0.002476
                  78,            0.011513,           0.0090658,           0.0019381,             0.97919,             0.99146,             0.99384,             0.91831,             0.00671,           0.0058044,          0.00053191,            0.002377,            0.002377,            0.002377
                  79,            0.011074,           0.0088213,           0.0018478,             0.98481,             0.98869,             0.99362,             0.91442,           0.0069514,           0.0059168,          0.00060866,            0.002278,            0.002278,            0.002278
                  80,            0.011169,           0.0087911,           0.0023658,             0.98389,             0.98768,             0.99362,             0.91167,           0.0070462,           0.0059082,          0.00056423,            0.002179,            0.002179,            0.002179
                  81,            0.011345,             0.00909,           0.0020119,             0.98289,             0.99286,             0.99433,             0.91424,           0.0067265,           0.0058484,          0.00052065,             0.00208,             0.00208,             0.00208
                  82,             0.01118,            0.008834,           0.0020886,             0.98074,             0.99546,             0.99433,             0.92198,           0.0066148,           0.0058277,          0.00048482,            0.001981,            0.001981,            0.001981
                  83,            0.010911,           0.0086213,           0.0017634,             0.98291,             0.99264,             0.99433,             0.92848,           0.0064424,           0.0057858,          0.00045434,            0.001882,            0.001882,            0.001882
                  84,            0.010871,           0.0086727,           0.0020721,             0.98098,             0.99465,             0.99433,              0.9292,            0.006523,            0.005699,          0.00031976,            0.001783,            0.001783,            0.001783
                  85,            0.010647,           0.0086226,           0.0020699,             0.98248,              0.9932,             0.99407,             0.91883,           0.0066547,           0.0057799,          0.00044432,            0.001684,            0.001684,            0.001684
                  86,            0.010855,           0.0087778,           0.0015915,             0.98307,             0.99311,             0.99407,             0.91564,           0.0066173,           0.0058218,          0.00048466,            0.001585,            0.001585,            0.001585
